Title,Summary,Category,Link
Union Home Minister Shah responds to CPI(M) leader John Brittas’ letter in Malayalam,"In a first, Home Minister Amit Shah responded in Malayalam to CPI(M) leader and Rajya Sabha MP John Brittas’ letter to him,flagging the legal infirmities in the Home Ministry’s directiveto cancel the ...",NATIONAL,https://www.thehindu.com/news/national/union-home-minister-shah-responds-to-cpim-leader-john-brittas-letter-in-malayalam/article70287343.ece
"Explosion near Red Fort was car-borne suicide attack, says NIA","A week after acar explosion killed 13 peoplenear the Red Fort in Delhi, the National Investigation Agency said on Sunday (November 16, 2025) that the driver of the car, Umar ul Nabi — a doctor by prof...",NATIONAL,https://www.thehindu.com/news/national/delhi-red-fort-blast-nia-arrests-kashmiri-resident-umar-nabi-aide-updates/article70287490.ece
Shashi Tharoor condemns Assam Minister’s controversial ‘Gobi farming’ post,"AsAssamMinisterAshok Singhal’s “Bihar approves Gobi farming” remarksparked a row with Opposition leaders alleging it was “glorifying” the killing of Muslims in Bhagalpur in 1989,CongressMP Shashi Thar...",NATIONAL,https://www.thehindu.com/news/national/shashi-tharoor-condemns-assam-ministers-controversial-gobi-farming-post/article70287081.ece
"Congress calls to meet top office-bearers of 12 States, UTs where SIR is underway","Amid the Bihar poll debacle andits ""vote chori"" pitch,the Congress has called a review meeting on November 18, 2025, of in-charges, State unit chiefs, Congress Legislature Party leaders and secretarie...",NATIONAL,https://www.thehindu.com/news/national/congress-calls-to-meet-top-office-bearers-of-12-states-uts-where-sir-is-underway/article70286913.ece
CJI Gavai backs exclusion of creamy layer in reservation to scheduled castes,"Chief Justice of India B.R. Gavai on Sunday (November 16, 2025) affirmed that he is still for exclusion of creamy layer in reservations to Scheduled Castes....",NATIONAL,https://www.thehindu.com/news/national/cji-gavai-backs-exclusion-of-creamy-layer-in-reservation-to-scheduled-castes/article70286763.ece
Amit Shah to chair Northern Zonal Council meeting in Faridabad on November 17,"Union Home Minister Amit Shah will on Monday (November 17, 2025) chair the 32nd meeting of theNorthern Zonal CouncilinHaryana's Faridabad, where issues like education, health, electricity, speedy inve...",NATIONAL,https://www.thehindu.com/news/national/amit-shah-to-chair-northern-zonal-council-meeting-in-faridabad-on-november-17/article70286638.ece
India shaping development pathways with economically sound and climate-responsible approach: UNDP chief,"India has demonstrated that economic growth and social inclusion can advance together and it is helping translate its success stories into global lessons for a more equitable world, a top official of ...",NATIONAL,https://www.thehindu.com/news/national/india-shaping-development-pathways-with-economically-sound-and-climate-responsible-approach-undp-chief/article70286576.ece
"Jaishankar discusses bilateral partnership, regional developments with Bahraini FM over call",External Affairs Minister S. Jaishankar discussed measures to strengthen the “longstanding multifaceted partnership” with Bahrain during a phone call with his counterpart Abdullatif bin Rashid Al Zaya...,NATIONAL,https://www.thehindu.com/news/national/jaishankar-discusses-bilateral-partnership-regional-developments-with-bahraini-fm-over-call/article70286518.ece
India's spend on Russian oil buy at €2.5 billion in October ahead of new sanctions,"India, the second-biggest buyer of Russian oil, spent as much as €2.5 billion on purchases of crude oil from Moscow in October, ahead of new sanctions being slapped on Russian entities, a European thi...",NATIONAL,https://www.thehindu.com/news/national/indias-spend-on-russian-oil-buy-at-25-billion-in-october-ahead-of-new-sanctions/article70286504.ece
Delhi HC steps in to revive Centre’s rare-disease crowdfunding portal after lukewarm response from sponsors,"The Delhi High Court’s recent order may bring a much-needed reset to the crowdfunding portal for rare-disease treatment, a Union Health Ministry initiative that is struggling to attract funds, having ...",NATIONAL,https://www.thehindu.com/news/national/delhi-hc-steps-in-to-revive-centres-rare-disease-crowdfunding-portal-after-lukewarm-response-from-sponsors/article70285177.ece
Why was there a tech glitch at Delhi airport? | Explained,"The story so far:Air traffic operations at New Delhi’s Indira Gandhi International (IGI) Airport were affected on November 6, after the Automatic Message Switching System (AMSS) experienced a technica...",NATIONAL,https://www.thehindu.com/news/national/why-was-there-a-tech-glitch-at-delhi-airport-explained/article70284947.ece
Justice vs judgment,"The International Crimes Tribunal of Bangladesh has evolved through three distinct phases over the past 55 years. In the first phase, it was conceived under Sheikh Mujibur Rahman when Bangladesh sough...",NATIONAL,https://www.thehindu.com/news/national/justice-vs-judgment-on-international-crimes-tribunal/article70285036.ece
"‘Be truthful, patriotic, and deliver on time’, CDS Gen. Chauhan tells defence industry","Chief of Defence Staff General Anil Chauhan on Friday (November 14, 2025) urged India’s defence manufacturers to pair patriotism with profit, stressing that delays, overpromising, and inflated costs u...",NATIONAL,https://www.thehindu.com/news/national/be-truthful-patriotic-and-deliver-on-time-cds-gen-chauhan-tells-defence-industry/article70284945.ece
Tamil Nadu moves Supreme Court against President’s refusal to grant assent to anti-NEET Bill,"Tamil Nadu on Saturday (November 15, 2025) moved the Supreme Court against the President’s refusal to grant assent to a proposed law which exempts the State from providing  medical admissions through ...",NATIONAL,https://www.thehindu.com/news/national/tamil-nadu-moves-supreme-court-against-presidents-refusal-to-grant-assent-to-anti-neet-bill/article70284783.ece
"With 1,700 aircraft pending orders, India needs 30,000 pilots: Aviation Minister Ram Mohan Naidu","India will need an additional 30,000 pilots once the pending orders for 1,700 aircraft from the Indian carriers are delivered, Union Civil Aviation Minister K. Ram Mohan Naidu said on Saturday (Novemb...",NATIONAL,https://www.thehindu.com/news/national/with-1700-aircraft-pending-orders-india-needs-30000-pilots-aviation-minister-ram-mohan-naidu/article70284943.ece
ECI plans for pre-mapped data during SIR Phase 2 remain unclear,"As the second phase of theSpecial Intensive Revision(SIR) of electoral rolls gets under way, it is unclear how theElection Commission of India(ECI) plans to use the “pre-mapping” exercise done by each...",NATIONAL,https://www.thehindu.com/news/national/eci-plans-for-pre-mapped-data-during-sir-phase-2-remain-unclear/article70284350.ece
Health Minister inaugurates 10 new AMRIT outlets across India,"Union Health Minister J.P. Nadda inaugurated AMRIT (Affordable Medicines and Reliable Implants for Treatment) Pharmacy’s 10th Anniversary celebrations at Bharat Mandapam, in New Delhi on Saturday (Nov...",NATIONAL,https://www.thehindu.com/news/national/health-ministerinaugurates-10-new-amrit-outlets-across-india/article70284304.ece
"Centre targets awarding 10,000 km of NH projects in FY 2026","The Centre plans to award 10,000 kilometres of National Highway projects by the end of financial year 2026, recovering from a slowdown that saw annual awards drop from 12,000 km to 6,000 km over the p...",NATIONAL,https://www.thehindu.com/news/national/centre-targets-awarding-10000-km-of-nh-projects-in-fy-2026/article70284269.ece
Delhi blast: Police registers two FIRs against Al-Falah University for forgery and cheating,"Delhi Police has registered two separate FIRs against Haryana’s Al-Falah University, following red flags raised by the University Grants Commission (UGC) and the National Assessment and Accreditation ...",NATIONAL,https://www.thehindu.com/news/national/delhi-blast-police-registers-two-firs-against-al-falah-university-for-forgery-and-cheating/article70284374.ece
"PM Modi attacks Congress for neglect of tribals, says Bihar voters rejected caste politics","Prime Minister Narendra Modion Saturday (November 15, 2025) accused successive Congress governments of neglecting tribal communities during their 60 years in power, despite their significant role in t...",NATIONAL,https://www.thehindu.com/news/national/pm-modi-gujarat-dediapada-bhagwan-birsa-munda-tribal-community/article70284058.ece
Parth Pawar land row: Congress leader seeks HC-monitored probe,"SeniorCongressleader Vijay Waddetiwar on Saturday (November 15, 2025) demanded a judicial inquiry by a High Court judge into thealleged irregularities in the Pune land dealinvolving a company linked t...",NATIONAL,https://www.thehindu.com/news/national/parth-pawar-land-row-congress-leader-seeks-hc-monitored-probe/article70283735.ece
"McDonald’s, KFC, and other popular food brands at railway stations soon",Indian Railways has decided to permit well-known single-brand food outlets to operate at railway stations....,NATIONAL,https://www.thehindu.com/news/national/mcdonalds-kfc-other-popular-food-brands-at-railway-stations-soon/article70280296.ece
Two Al-Falah University doctors among three detained by Delhi Police in terror module case,"“DelhiPolice has detained three persons, including two doctors fromHaryana's Al-Falah Universitywho were known toDoctor Umar Nabi,the driver ofthe car that exploded near the Red Fort,” officials said ...",NATIONAL,https://www.thehindu.com/news/national/two-al-falah-university-doctors-among-three-detained-by-delhi-police-in-terror-module-case/article70283332.ece
Indian Army’s Gajraj Corps develops high-altitude monorail in Arunachal Pradesh,"In a significant demonstration of innovation in extreme terrain, the Indian Army’s Gajraj Corps has developed an in-house High Altitude Monorail System to support operations at 16,000 feet in the Kame...",NATIONAL,https://www.thehindu.com/news/national/armys-gajraj-corps-develop-in-house-high-altitude-mono-rail-system-to-support-operations-at-16000-feet-in-himalayas/article70283259.ece
PM Modi reviews under-construction bullet train station in Surat,"Prime Minister Narendra Modi on Saturday (November 15, 2025) visited the under-construction bullet train station in Gujarat's Surat to review the progress of the Mumbai-Ahmedabad High-Speed Rail Corri...",NATIONAL,https://www.thehindu.com/news/national/prime-minister-narendra-modi-in-gujarat-bullet-train-surat/article70283203.ece
"Mini trucks transported 2,900 kg recovered explosives from Faridabad to Srinagar by road","Mini trucks were used to transport 2,900 kilograms of inflammable material, possibly ammonium nitrate, seized by the Jammu and Kashmir police from Haryana’s Faridabad earlier this week to a police sta...",NATIONAL,https://www.thehindu.com/news/national/explosives-recovered-from-faridabad-transported-to-nowgam-police-station-in-air-tight-containers-over-past-two-days-says-official/article70283171.ece
India calls for greater transparency in functioning of UNSC subsidiary organs,"Indiahas called for “greater transparency"" in the functioning of the subsidiary organs of theUnited NationsSecurity Council (UNSC), citing the “obscure” manner in which requests to designate entities ...",NATIONAL,https://www.thehindu.com/news/national/india-calls-for-greater-transparency-in-functioning-of-unsc-subsidiary-organs/article70283052.ece
"India open to leading WTO reforms, but seeks consensus on agenda: Goyal","Commerce and Industry Minister Piyush Goyal has said India is willing to play a leadership role in driving WTO reforms, but emphasised that the nature of those reforms must be shaped in consultation w...",NATIONAL,https://www.thehindu.com/news/national/india-open-to-leading-wto-reforms-but-seeks-consensus-on-agenda-goyal/article70282987.ece
"Gujarat ATS nabs man wanted in Punjab for grenade, arms smuggling for Pakistan-linked gang",“The Gujarat Anti-Terrorist Squad (ATS) has apprehended a man wanted by thePunjabpolice for his alleged involvement in smuggling arms for a gang operating at the behest of Pakistan-based terrorist net...,NATIONAL,https://www.thehindu.com/news/national/gujarat-ats-nabs-man-wanted-in-punjab-for-grenade-arms-smuggling-for-pakistan-linked-gang/article70282876.ece
Fugitive fraudster Jagdish Punetha extradited from Dubai,"A fugitive fraudster wanted for allegedly duping people of crores of rupees through fake investment schemes has been extradited from the United Arab Emirates, police said....",NATIONAL,https://www.thehindu.com/news/national/fugitive-fraudster-jagdish-punetha-extradited-from-dubai/article70282867.ece
"External Affairs Minister Jaishankar chairs conference of Indian Envoys in the U.S., reviews bilateral ties",External Affairs Minister S Jaishankar reviewed bilateral ties between Washington and New Delhi and support for diaspora activities at a conference of India’s Consuls General in the U.S. convened in N...,NATIONAL,https://www.thehindu.com/news/national/external-affairs-minister-jaishankar-consul-generals-conference-in-new-york/article70282808.ece
Licences of doctors accused in Delhi car blast revoked,"The National Medical Commission on Friday (November 14, 2025) removed the names Muzaffar Ahmad, Adeel Ahmad Rather, Muzamil Shakeel and Shaheen Saeed from the National Medical Register after they were...",NATIONAL,https://www.thehindu.com/news/national/licences-of-doctors-accused-in-delhi-car-blast-revoked/article70281703.ece
Supreme Court to examine plea seeking hospital patient care allowance to PwDs,The Supreme Court on Friday decided to examine a plea challenging a May 7 notification issued by the Health Ministry stopping Hospital Patient Care Allowance (HPCA) to persons with disabilities workin...,NATIONAL,https://www.thehindu.com/news/national/supreme-court-to-examine-plea-seeking-hospital-patient-care-allowance-to-pwds/article70281445.ece
Jaishankar to meet Russian counterpart in Moscow on November 17,"External Affairs Minister S. Jaishankar will meet his Russian counterpart Sergei Lavrov in Moscow on Monday (November 17, 2025) to discuss bilateral cooperation, the Russian Foreign Ministry said on F...",NATIONAL,https://www.thehindu.com/news/national/jaishankar-to-meet-russian-counterpart-in-moscow-on-november-17/article70281471.ece
Supreme Court to hear Senthilbalaji’s plea to relax bail conditions on December 1,The Supreme Court on Friday posted for December 1 a plea by former Tamil Nadu Minister V. Senthilbalaji to relax his bail conditions in a money-laundering case related to an alleged cash-for-job scam....,NATIONAL,https://www.thehindu.com/news/national/supreme-court-to-hear-senthilbalajis-plea-to-relax-bail-conditions-on-december-1/article70280333.ece
"State hasn’t transferred murder investigation records to CBI, Armstrong’s wife alleges in SC","The Supreme Court on Friday orally asked Porkudi, widow of slain BSP Tamil Nadu president K. Armstrong, to file an application recording her allegation that the State of Tamil Nadu is not handing over...",NATIONAL,https://www.thehindu.com/news/national/state-hasnt-transferred-murder-investigation-records-to-cbi-armstrongs-wife-alleges-in-sc/article70280105.ece
"Assembly bypolls: Congress, BJP bag two seats each; NC loses stronghold",Ruling parties lost four of the eight Assembly constituencies across five States and one Union Territory that went to byelection on November 11. The National Conference (NC) suffered a major setback i...,NATIONAL,https://www.thehindu.com/news/national/nc-loses-stronghold-in-jk-congress-bjp-win-two-seats-each-in-bypolls-to-eight-assembly-constituencies/article70280807.ece
NSA Doval invites Bangladesh counterpart to Colombo Security Conclave in Delhi,"In a bid to broaden security dialogue amidst continued tension with Bangladesh, National Security Adviser Ajit Doval will host Bangladesh interim government’s National Security Adviser Khalilur Rahman...",NATIONAL,https://www.thehindu.com/news/national/nsa-doval-invites-bangladesh-counterpart-to-colombo-security-conclave-in-delhi/article70280832.ece
Indian military heritage festival 2025 begins; Minister stresses need to preserve military legacy,"The third edition of the Indian Military Heritage Festival began on Friday (November 14, 2025), with Minister of State for Defence Sanjay Seth underscoring the importance of preserving and learning fr...",NATIONAL,https://www.thehindu.com/news/national/indian-military-heritage-festival-2025-begins-minister-stresses-need-to-preserve-military-legacy/article70280594.ece
Enumeration forms distributed to over 91% voters in SIR Phase 2: ECI,Enumeration forms have been distributed to more than 91% of people whose names are included in the current voter lists of the 12 States and Union Territories where thesecond phase of the special inten...,NATIONAL,https://www.thehindu.com/news/national/enumeration-forms-distributed-to-over-91-voters-in-sir-phase-2-eci/article70279913.ece
Supreme Court believes CJI ‘must have’ acted on the anguish of ‘approached’ NCLAT Member,"The Supreme Court trained the spotlight on Chief Justice of India B.R. Gavai on Friday (November 14, 2025), saying the top judge ""must have"" acted on the anguish of a judicial member on the Chennai Be...",NATIONAL,https://www.thehindu.com/news/national/supreme-court-believes-cji-must-have-acted-on-the-anguish-of-approached-nclat-member/article70279484.ece
"India, Canada strengthen economic ties on critical minerals, trade and investment","India and Canada agreed to bolster long-term supply chain partnerships in critical minerals and expand investment and trade opportunities, the two countries said in a joint statement....",NATIONAL,https://www.thehindu.com/news/national/india-canada-strengthen-economic-ties-on-critical-minerals-trade-and-investment/article70279707.ece
CBI arrests Singapore-based accused from Delhi in ₹32-crore bank fraud case,The Central Bureau of Investigation (CBI) arrested a Singapore resident for his alleged involvement in a ₹31.60 crore  ‘bank fraud’ case....,NATIONAL,https://www.thehindu.com/news/national/singapore-based-man-arrested-from-delhi-in-32-crore-bank-fraud-case-cbi/article70279554.ece
"India is negotiating FTAs with multiple countries to ensure free flow of capital, goods and services: Piyush Goyal","Union Minister of Industries & Commerce Piyush Goyal saidIndiawas holding negotiations with the European Union, the U.S., Oman, New Zealand, Chile, Peru and a host of other countries to facilitate the...",NATIONAL,https://www.thehindu.com/news/national/india-is-negotiating-ftas-with-multiple-countries-to-ensure-free-flow-of-capital-goods-and-services-piyush-goyal/article70278763.ece
"Nehru's contributions sought to be denied, denigrated, distorted by PM: Congress","The Congress on Friday (November 14, 2025) alleged thatJawaharlal Nehru's immeasurable contributions to the making of modern India are sought to be ""denied, denigrated, distorted, and demonised"" by Pr...",NATIONAL,https://www.thehindu.com/news/national/nehrus-contributions-sought-to-be-denied-denigrated-distorted-by-pm-congress/article70278702.ece
Sikkim CM Prem Singh Tamang hospitalised,"Sikkim Chief Minister Prem Singh Tamang, who was undergoing treatment at a hospital following nose bleeding and high blood pressure, was stable on Friday (November 14, 2025) morning, a bulletin issued...",NATIONAL,https://www.thehindu.com/news/national/prem-singh-tamang-hospitalised/article70278823.ece
"Digital Personal Data Protection Act notified after two years, RTI Act amended","The Union Government notified large parts of theDigital Personal Data Protection (DPDP) Act, 2023,on Friday (November 14, 2025), addressing the need for a law to protect the data privacy of Indian cit...",NATIONAL,https://www.thehindu.com/news/national/digital-personal-data-protection-act-notified-after-two-years-rti-act-amended/article70278698.ece
SEBI-Sahara case: Supreme Court agrees to hear plea of employees seeking payment of pending salaries,"The Supreme Court on Friday (November 14, 2025) agreed to list for hearing on November 17 interim pleas of employees seeking payment of their pending salaries from the Sahara Group companies....",NATIONAL,https://www.thehindu.com/news/national/sebi-sahara-case-supreme-court-agrees-to-hear-plea-of-employees-seeking-payment-of-pending-salaries/article70278742.ece
"BJP, Congress spar after Jeffrey Epstein mails refer to invitation to Hardeep Puri","Amidst the furore over the release in the United States of emails of convicted sex traffickerJeffrey Epstein’s links with U.S. President Donald Trump, one of the 11-year-old mails released by the U.S....",NATIONAL,https://www.thehindu.com/news/national/bjp-congress-spar-after-jeffrey-epstein-mails-refer-to-invitation-to-hardeep-puri/article70278680.ece
Delhi car blast accused Umar Nabi’s house demolished in Pulwama,"The residential house ofDr. Umar Nabi, whom security agencies identified as the one who drove anexplosive-laden car on November 10 at Red Fort, was demolished by using explosives during the intervenin...",NATIONAL,https://www.thehindu.com/news/national/delhi-blast-pulwama-house-of-dr-umar-nabi-demolished/article70278279.ece
Holding up GLASS to India; securing stewardship to tackle AMR,"Around mid-October 2025, when the World Health Organization (WHO) released its Global antibiotic resistance surveillance report 2025 (GLASS), there was hardly any surprise in the quarters in which ant...",NATIONAL,https://www.thehindu.com/news/national/holding-upglass-to-india-securing-stewardship-to-tackle-amr/article70272630.ece
Down the corridors in the engines of digital India,"In the far reaches of Greater Noida, Uttar Pradesh, an electricity substation – spread over 10,000 square metres and fenced off from wanderers – hums on. Its purpose: to provide a dedicated and unbrok...",NATIONAL,https://www.thehindu.com/news/national/down-the-corridors-in-the-engines-of-digital-india/article70272689.ece
Police reconstruct Red Fort blast suspect’s last hours using footage from 50 cameras,"The Delhi Police on Thursday (November 13, 2025) reconstructed the last hours of Umar Nabi, the lone occupant of the car that exploded near Red Fort on Monday (November 10), killing 13 people so far. ...",NATIONAL,https://www.thehindu.com/news/national/police-reconstruct-red-fort-blast-suspects-last-hours-using-footage-from-50-cameras/article70277267.ece
Two more held for Delhi blast; Al-Falah University faces audit,"A medical college professor and a medical student, both from Jammu and Kashmir, were detained in Uttar Pradesh on Thursday (November 13, 2025), in connection with the car blast near Red Fort....",NATIONAL,https://www.thehindu.com/news/national/two-more-held-for-delhi-blast-al-falah-university-faces-audit/article70276559.ece
Manmohan remained focused on economic growth as PM despite strong contrary views: Montek,"One of the late Manmohan Singh’s important achievements during his 10 years as Prime Minister was retaining the focus on economic growth, eminent economist and former Deputy Chairperson of what was th...",NATIONAL,https://www.thehindu.com/news/national/manmohan-remained-focused-on-economic-growth-as-pm-despite-strong-contrary-views-montek/article70276594.ece
Centre releases draft Seeds Bill; industry welcomes; farm outfits cautious,"After two failed attempts in the past by the United Progressive Alliance and National Democratic Alliance governments in 2004 and2019, the Centre has brought inyet another draft Seeds Bill....",NATIONAL,https://www.thehindu.com/news/national/centre-releases-draft-seeds-bill-industry-welcomes-farm-outfits-cautious/article70276737.ece
Barrier-less tolling systems: government to revisit bank-centric bidding model,"The government is exploring alternatives to bank-centric tendering for its new barrier-less tolling system, under which eight projects have been awarded out of a total target of 25 for the financial y...",NATIONAL,https://www.thehindu.com/news/national/government-to-relook-at-bidding-criteria-for-barrier-less-tolling/article70276280.ece
Supreme Court wants government to promote EVs amid high air pollution,"Amidworsening air pollution in the national capital,the Supreme Court on Thursday (November 13, 2025) observed that it may be high time to revisit the National Electric Mobility Mission Plan (NEMMP) 2...",NATIONAL,https://www.thehindu.com/news/national/supreme-court-wants-government-to-promote-evs-amid-high-air-pollution/article70276717.ece
Unions slam labour policy for ignoring ‘ground realities’,"The Central Trade Unions (CTUs) of the country, except the Rashtriya Swayamsevak Sangh (RSS)-backed Bharatiya Mazdoor Sangh (BMS), rejected the ‘Shram Shakti Niti 2025’, the draft labour policy of the...",NATIONAL,https://www.thehindu.com/news/national/central-trade-unions-reject-draft-labour-policy-ask-govt-to-convene-indian-labour-conference/article70276548.ece
